,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,url
0,BS,BS,Still Woozy,2020-09-10,133986,68,0.616,0.503,0.616,0.458,0.0035,0.115,-11.832,0.0455,79.574,3,https://open.spotify.com/track/1qxZswAdBvM0JMUoV83J1b
1,Window,Window,Still Woozy,2020-04-17,139293,72,0.714,0.436,0.714,0.483,2.3e-05,0.28,-9.378,0.195,91.025,4,https://open.spotify.com/track/3hARuUtzTdUuWH1KiLJlSf
2,Habit,Habit,Still Woozy,2019-12-12,153871,73,0.767,0.154,0.767,0.392,0.000398,0.108,-11.996,0.0945,125.017,4,https://open.spotify.com/track/4BsLwvaJOTOHDNg7xMpvrL
3,Lava,Lately EP,Still Woozy,2019-05-03,157303,65,0.62,0.304,0.62,0.616,0.00954,0.264,-10.071,0.143,169.139,4,https://open.spotify.com/track/2dIeraguJ8SoHDqXfSZelZ
4,Ipanema,Lately EP,Still Woozy,2019-05-03,127044,58,0.755,0.226,0.755,0.477,0.077,0.268,-11.461,0.218,147.451,4,https://open.spotify.com/track/0phxK01nh2jkPnYe9wLfdO
5,Habit,Lately EP,Still Woozy,2019-05-03,153871,52,0.773,0.18,0.773,0.39,0.000707,0.107,-11.999,0.113,125.001,4,https://open.spotify.com/track/76ONL66gg6aJeeWXgx1XN4
6,Foolsong,Lately EP,Still Woozy,2019-05-03,173166,62,0.686,0.17,0.686,0.48,0.0116,0.105,-11.443,0.0504,150.828,4,https://open.spotify.com/track/2CO1B7lyEs3lf19hM5gn6x
7,Maybe She,Lately EP,Still Woozy,2019-05-03,169090,57,0.623,0.509,0.623,0.528,0.00222,0.108,-11.49,0.154,88.024,4,https://open.spotify.com/track/5U8hidWugxHXvh1AzZYwKF
8,Lucy,Lucy,Still Woozy,2018-03-22,142500,68,0.647,0.43,0.647,0.537,0.000258,0.119,-12.006,0.21,84.46,4,https://open.spotify.com/track/5RxpYHVbGJPOvSEATQyg9P
9,Goodie Bag,Goodie Bag,Still Woozy,2017-11-05,146390,77,0.739,0.821,0.739,0.522,0.00124,0.233,-12.304,0.151,138.263,4,https://open.spotify.com/track/4vHNeBWDQpVCmGbaccrRzi
10,Wolfcat,Wolfcat,Still Woozy,2017-08-31,174221,62,0.662,0.749,0.662,0.48,0.000314,0.118,-12.58,0.0542,134.944,3,https://open.spotify.com/track/1Hu2OypX8tMPwBcCUaAeO4
11,Cooks,Cooks,Still Woozy,2017-07-16,174105,70,0.45,0.434,0.45,0.583,0.0126,0.244,-10.49,0.0811,77.066,4,https://open.spotify.com/track/75TDPu9k7Yv3IovdYaNCwk
12,Vacation,Vacation,Still Woozy,2017-05-25,233994,56,0.609,0.344,0.609,0.431,0.00239,0.181,-11.516,0.0675,125.117,3,https://open.spotify.com/track/7Hy7Fgp3es9APBsQIzEF3V
